id,srno,assurance_date,ministry,subject,sessionNo,assuranceNo,source,clubbedMembers
14562,474,1996-07-25,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Reservation for women in Govt. jobs.,,177/2,USQ 1236,
14563,2263,2019-12-11,CIVIL AVIATION,Job Security for Employees of Air India,,250/112,USQ 2567,
14564,2263,2017-04-05,CULTURE,Cell of savarkar in andaman Cellular Jail,,242/275,USQ 3709,
14565,2263,2017-04-06,URBAN DEVELOPMENT,Subletting of Garages in sector -9 R.K. Puram,,242/251,USQ 3986,
14566,2263,2017-04-05,CULTURE,Record of revolutionaries jailed in Andaman Cellular Jail,,242/233,USQ 3710,
14567,2263,2017-03-22,HOME AFFAIRS,Child trafficking racket in West Bengal,,242/173,USQ 2305,
14568,2263,2017-03-22,COAL,Concern over withdrawal of labour cess in certain departments,,242/150,,TAPAN KUMAR SEN
14569,2263,2016-12-14,CULTURE,Portrait of Revolutionaries in Andaman Cellular Jail,,241/171,USQ 3071,
14570,2263,2016-03-16,TOURISM,Promotion of silk route tourism,,238/258,USQ 2218,
14571,2263,2016-03-16,CULTURE,"Appointment of Administrator in Asiatic Society, Kolkata",,238/246,SQ 200,
14572,2263,2015-12-09,CULTURE,"Financial irregularities in Asiatic Society, Kolkata",,237/105,USQ 1159,
14573,2263,2015-03-13,RAILWAYS,Evasion of service tax by Railways,,234/164,USQ 1893,
14574,2263,2014-12-18,SPACE,Test crew mobile to put man in space,,233/398,USQ 2943,K.N. Balagopal
14575,2263,2014-12-10,HOME AFFAIRS,Honour Killings in the Country,,233/282,USQ 1943,
14576,2263,2014-12-04,URBAN DEVELOPMENT,Smart Cities Between Lucknow and Agra,,233/202,USQ 1379,
14577,2263,2014-12-04,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Duration of induction training for IAS Officers,,233/197,USQ 1333,K.P.Ramalingam
14578,2263,2014-12-02,FINANCE,Co-operation between Central and State Government for investigation in Ponzi companies,,233/158,USQ 1022,
14579,2263,2014-11-28,RAILWAYS,Mumbai-Ahmedabad Bullet Train Project,,233/123,USQ 736,
14580,2263,2014-11-27,URBAN DEVELOPMENT,Establishment of Smart Cities,,233/100,USQ 591,
14581,2263,2014-08-08,RAILWAYS,Super speciality hospitals and factories in West Bengal,,232/369,SQ 450,
14582,2263,2014-08-07,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Seeking of information under RTI,,232/347,USQ 3149,
14583,2263,2014-07-17,DEVELOPMENT OF NORTH EASTERN REGION,development of North-Eastern Region,,232/135,USQ 910,
14584,2263,2019-06-28,AGRICULTURE AND FARMERS WELFARE,,,249/45,USQ 779,
14585,2263,2019-02-11,DEFENCE,Defence offset contracts,,248/46,USQ 781,
14586,2263,2019-02-08,Communications,Allocation of 4G spectrum to BSNL,,248/45,USQ 664,
14587,2263,2018-12-18,HEALTH AND FAMILY WELFARE,Hiring of consultants by the Ministry,,247/15,USQ 928,
14588,2263,2018-02-07,HOME AFFAIRS,MOB lynching of Minorities in Rajasthan,,245/26,USQ 518,
14589,2263,2018-01-05,LAW  AND JUSTICE,Simultaneous elections for Lok Sabha  and State Assemblies,,244/97,USQ 2190,
14590,2263,2018-01-03,CULTURE,Andaman Cellular Jail,,244/71,USQ 1783,
14591,2263,2017-07-19,CULTURE,Andaman Cellular Jail,,243/21,USQ 362,
14592,2263,2016-12-01,HUMAN RESOURCE DEVELOPMENT,Indian Revolutionaries termed as terrorists in text books,,241/96,USQ 1831,
14593,2263,2016-03-02,CULTURE,Malfunctioning in Asiatic Society,,238/68,USQ 680,
14594,2263,2016-02-25,HUMAN RESOURCE DEVELOPMENT,Suicide of Ph.D scholars in universities,,238/26,USQ 233,
14595,2263,2015-12-03,HUMAN RESOURCE DEVELOPMENT,Charges against Vice-Chancellor of Visva Bharti University,,237/52,USQ 555,
14596,2263,2015-07-22,CULTURE,"Allegations of Misuse of funds at Asiatic society, Kolkata",,236/19,USQ 189,
14597,2263,2014-11-25,CIVIL AVIATION,Alliance AIR Operations,,233/31,USQ 182,
14598,2263,2014-07-11,COMMUNICATIONS & INFORMATION TECHNOLOGY,Plan to revive MTNL and BSNL,,232/78,USQ 425,
14599,2263,2019-11-18,"PORTS, SHIPPING AND WATERWAYS",Plan to privatise CSL and SCIL,,250/1,USQ 145,
14600,2263,2017-12-15,AGRICULTURE AND FARMERS WELFARE,Selling of pesticides without labeling of adequate safety information,,244/4,USQ 32,
14601,2264,2014-07-24,NITI AYOG,Norms for categorizing BPL people,,232/237,USQ 1769,
14602,2265,2019-12-09,YOUTH AFFAIRS & SPORTS,Reservation for local youth in jobs.,,250/101,USQ 2396,
14603,2265,2020-03-12,WOMEN AND CHILD DEVELOPMENT,Pradhan Mantri Mahila Shakti Kendra,,251/81,USQ 2233,
14604,2265,2014-11-25,HEALTH AND FAMILY WELFARE,Introduction of Three years Medical Degree Courses,,233/46,USQ 266,
14605,2265,2014-11-24,"PORTS, SHIPPING AND WATERWAYS",Development of Waterway in AP and Telangana,,233/27,USQ 139,
14606,478,1999-12-13,MINES AND MINERALS,"Consideration and passing of the Mines and Minerals(Regulation and Amendment ) Bill,1999",,188/47,,
14607,2268,2022-04-07,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Comments of DLA on old pension scheme,,256/116,USQ 4123,"Neeraj Shekhar, Sukhram SinghYadav, Vishambhar Prasad Nishad"
14608,2268,2021-07-28,SOCIAL JUSTICE AND EMPOWERMENT,Right to identify and list backward classes,,254/104,SQ 104,
14609,2268,2020-03-18,SOCIAL JUSTICE AND EMPOWERMENT,Report by NCSK on Manual Scavengers Death,,251/110,USQ 2863,
14610,2268,2020-03-18,Housing and Urban Affairs,,,251/106,SQ 256,
14611,2268,2020-03-17,HEALTH AND FAMILY WELFARE,,,251/103,SQ 241,
14612,2268,2016-05-10,HEALTH AND FAMILY WELFARE,Steps to check adulterated packaged milk,,239/218,SQ 172,
14613,2268,2016-03-11,CHEMICALS AND FERTILIZERS,Closed urea plants,,238/186,USQ 1635,
14614,2268,2015-12-17,URBAN DEVELOPMENT,Programmes under JNNURM in Bihar,,237/200,SQ 202,
14615,2268,2015-12-09,HOME AFFAIRS,Implementation of Smart Police Station Scheme,,237/107,USQ 1176,
14616,2268,2014-12-11,URBAN DEVELOPMENT,Development of smart cities in Bihar,,233/299,SQ 257,
14617,2268,2014-12-08,ROAD TRANSPORT AND HIGHWAYS,Poor condition of NH 28,,233/244,USQ 1665,
14618,2268,2014-07-31,ATOMIC ENERGY,Proposal for nuclear power plant in Bihar,,232/438,SQ 328,
14619,2268,2014-07-30,LABOUR AND EMPLOYMENT,Employment exchanges in Bihar,,232/414,USQ 2235,
14620,2268,2014-07-15,MICRO SMALL AND MEDIUM ENTERPRISES,Revival of sick MS&MEs,,232/110,USQ 733,
14621,2268,2014-07-15,HEALTH AND FAMILY WELFARE,Rolling out of National Health Assurance Mission,,232/108,USQ 711,
14622,2268,2023-12-12,FINANCE,SCARPPING OF NPS AND RESTORATION OF OLD PENSION SCHEME,,262/61,USQ 1022,Javed Ali Khan
14623,2268,2023-03-27,Housing and Urban Affairs,Allotment of Land for Installation of Charging Points,,259/75,USQ 2946,
14624,2268,2022-02-04,RAILWAYS,Construction of over Bridge near Karpurigram Station,,256/69,SQ 31,
14625,2268,2020-03-11,HOME AFFAIRS,Caste-wise DATA in census,,251/74,USQ 1963,
14626,2268,2019-12-03,HEALTH AND FAMILY WELFARE,Second AIIMS in Bihar.,,250/61,USQ 1707,
14627,2268,2019-06-24,JAL SHAKTI,Provision of drinking water to households,,249/16,USQ 239,
14628,2268,2019-02-12,HEALTH AND FAMILY WELFARE,Physiotherapists in Government Hospitals.,,248/51,USQ 1054,T.G.Venkatesh
14629,2268,2018-08-02,WOMEN AND CHILD DEVELOPMENT,Requests for exemption to women from Tax on gifts,,246/70,SQ 167,
14630,2268,2018-07-25,LABOUR AND EMPLOYMENT,Job opportunities for women,,246/33,SQ 78,
14631,2268,2016-02-26,Communications,Strengthening of communication system,,238/40,USQ 379,
14632,2268,2015-12-02,LABOUR AND EMPLOYMENT,Small Factories Bill,,237/44,USQ 421,
14633,2268,2015-07-29,COMMERCE AND INDUSTRY,Permission to Bihar for Inland Transportation for Export and Import,,236/72,USQ 988,
14634,2268,2014-07-14,HUMAN RESOURCE DEVELOPMENT,Massive open online courses and virtual classrooms,,232/89,USQ 550,
14635,2268,2014-07-14,DRINKING WATER AND SANITATION,Swachh Bharat Mission,,232/88,USQ 532,
14636,2268,2018-07-19,WOMEN AND CHILD DEVELOPMENT,International Report on Crime against Women and Girls,,246/8,SQ 21,
14637,2269,2018-07-27,RAILWAYS,vacancies in Railways,,246/132,USQ 1249,T. Subbarami Reddy
14638,2269,2018-04-03,FINANCE,Bank scam cases under CBI investigation,,245/150,USQ 4103,
14639,2269,2018-03-28,PETROLEUM AND NATURAL GAS,Crash of ONGC helicopters ferrying officers from Mumbai,,245/144,USQ 3796,
14640,2269,2018-03-27,FINANCE,Bank Scam under CBI investigation,,245/140,USQ 3564,
14641,2269,2018-03-23,"Fisheries, Animal Husbandry and Dairying",Setting up of subsidiary company in NDDB,,245/128,USQ 3242,
14642,2269,2018-03-19,DEFENCE,Committee for review of capital acquisition projects,,245/104,SQ 244,
14643,2269,2017-08-03,Housing and Urban Affairs,Lands for construction of toilets in Delhi,,243/103,USQ 2125,
14644,2269,2017-04-12,HOME AFFAIRS,Vacancies to NHRC,,242/268,USQ 4535,
14645,2269,2017-04-07,LAW  AND JUSTICE,Reducing the number of tribunals,,242/254,USQ 4106,
14646,2269,2016-12-02,CHEMICALS AND FERTILIZERS,Setting up of Chemical Hub and Central Institute of chemical Engineering  and Technology,,241/196,USQ 1969,
14647,2269,2016-12-14,HOME AFFAIRS,Probe into essar tapes scam,,241/176,USQ 3103,
14648,2269,2016-08-11,HUMAN RESOURCE DEVELOPMENT,"Regular faculty for IIM, Ranchi",,240/260,USQ 2864,"AMBIKA SONI, Santiuse Kujur"
14649,2269,2016-07-27,HOME AFFAIRS,Funds allocated for development of Naxal-affected States,,240/119,SQ 110,
14650,2269,2016-07-27,HOME AFFAIRS,Funds allocated for development of Naxal-affected States,,240/118,SQ 110,
14651,2269,2016-05-02,ROAD TRANSPORT AND HIGHWAYS,Construction of elevated road on Ratu Road,,239/104,USQ 888,
14652,2269,2016-03-04,AGRICULTURE AND FARMERS WELFARE,Loss of crops due to drought,,238/114,USQ 982,
14653,2269,2015-08-07,Communications,Internet telephone services,,236/212,USQ 2133,
14654,2269,2015-08-06,SKILL DEVELOPMENT  AND ENTREPRENEURSHIP,Skill Development University in Bihar,,236/137,USQ 2021,
14655,2269,2015-03-16,COAL,Physical verification of CILs  lands,,234/176,USQ 1937,
14656,2269,2018-03-09,Communications,Revival Plan for MTNL and BSNL,,245/74,USQ 1674,
14657,2269,2018-01-04,HUMAN RESOURCE DEVELOPMENT,Child sexual abuse in schools,,244/80,SQ 186,
14658,2269,2017-02-07,HEALTH AND FAMILY WELFARE,Third Party safety Audit of Hospitals and Clinics,,242/43,SQ 47,
14659,2269,2017-02-03,LAW  AND JUSTICE,Regulating Finances for Political Parties,,242/25,USQ 254,
14660,2269,2016-07-21,HUMAN RESOURCE DEVELOPMENT,Selection of 20 world class institutes,,240/62,USQ 466,
14661,2269,2015-12-01,FINANCE,Lack of co-ordination between RBI and GTOI,,237/21,USQ 249,
14662,2269,2015-12-01,DEFENCE,Defence import by the country,,237/17,USQ 213,
14663,2269,2015-07-30,"Environment, Forests  & Climate Change",Environmental damage by mining,,236/78,USQ 1141,
14664,2269,2015-07-21,DEFENCE,Implementation of OROP scheme for Paramilitary Forces,,236/13,USQ 61,
14665,2269,2015-03-09,COAL,Land in possession of CIL,,234/93,USQ 1133,
14666,2269,2015-03-09,COAL,Land damage due to mining,,234/92,USQ 1132,
14667,2270,2019-06-24,COAL,Life Insurance and Health cards for labourers in coal mines,,249/178,SQ 21,
14668,2270,2018-03-19,DEFENCE,Status of cadre review of Barrack and stores cadre of MES,,245/105,USQ 2564,
14669,2270,2016-04-28,SOCIAL JUSTICE AND EMPOWERMENT,Employment to beggars,,239/278,USQ 589,
14670,2270,2015-08-12,HOME AFFAIRS,Caste Based census data,,236/184,SQ 248,
14671,2270,2014-12-03,HOME AFFAIRS,Incidents of rape of North-Eastern Women,,233/177,USQ 1150,
14672,2270,2014-12-02,DEFENCE,Increase in accidents involving Naval Ships,,233/154,USQ 980,
14673,2270,2014-07-30,LABOUR AND EMPLOYMENT,Employment for non-technical graduates in Bihar,,232/411,USQ 2227,
14674,2270,2014-07-17,NITI AYOG,Special status to Bihar,,232/145,USQ 996,
14675,2270,2017-02-03,Communications,Better internet service to the household consumers,,242/20,SQ 21,
14676,2270,2016-03-02,LABOUR AND EMPLOYMENT,Child labour,,238/63,USQ 66,
14677,2270,2015-07-24,RAILWAYS,Transfer Policy of Railways,,236/48,USQ 608,Anil KumarSahani
14678,2270,2015-05-06,HOME AFFAIRS,E-Tourist Visa to Chinese Nationals,,235/79,SQ 109,
14679,2271,2017-02-06,ROAD TRANSPORT AND HIGHWAYS,Work on Pathalgaon to Jashpur National Highway,,242/39,USQ 427,
14680,932,1999-12-22,HOME AFFAIRS,Union Minister in Vigilance Net.,,188/144,SQ 351,GAYA SINGH
14681,932,1999-12-07,CIVIL AVIATION,Disinvestment of Government stake in Air India,,188/90,USQ 660,GAYA SINGH
14682,932,1999-03-09,SURFACE TRANSPORT,Calcutta Port Trust-Lane,,186/90,SQ 181,
14683,932,1999-03-05,HUMAN RESOURCE DEVELOPMENT,Reserve teaching posts,,186/65,USQ 1174,"GAYA SINGH                              , Shibu Soren"
14684,932,1999-02-26,HUMAN RESOURCE DEVELOPMENT,Feasibility of making elementary education and fundamental right,,186/62,USQ 559,JALALUDIN ANSARI
14685,932,1999-02-23,INFORMATION AND BROADCASTING,Terms & Conditions of CEO of Prasar Bharati,,186/37,USQ 110,N.R. DASARI
14686,932,1999-03-09,FINANCE AND COMPANY AFFAIRS,Bail out package for Essar Steel,,186/18,USQ 1456,
14687,932,1998-12-16,HOME AFFAIRS,Scrapping of Official Secrets Act.,,185/73,USQ 1913,"Amar Singh, J. CHITHARANJAN                         , JANESWAR MISRA                          , K. M. KHAN"
14688,932,1998-12-02,HOME AFFAIRS,Links of Romesh Sharma.,,185/57,USQ 361,GAYA SINGH
14689,932,1998-12-21,STEEL,Expansion of production in Rashtriya Ispat Nigam,,185/53,USQ 2440,
14690,932,1998-12-14,STEEL,Restructuring the finances of Rashtriya Ispat Nigam,,185/52,USQ 1652,
14691,932,1997-11-26,HOME AFFAIRS,Probe into alleged suicide by IAS,,182/35,USQ 819,JALALUDIN ANSARI
14692,932,1997-11-20,LABOUR AND EMPLOYMENT,Agricultural workers,,182/25,SQ 23,GAYA SINGH
14693,932,1992-08-04,LABOUR AND EMPLOYMENT,Short duration discussion on the condition of rural labour in the country,,164/14,,V.NARAYANASAMY
14694,932,1996-02-27,TEXTILES,Closure of NTC Units,,176/5,USQ 27,
14695,932,1991-12-10,FINANCE AND COMPANY AFFAIRS,Condition for grant of loans by financial institutions,,161/1,SQ 266,
14696,932,1991-01-01,LABOUR AND EMPLOYMENT,Legislation for agricultural workers,,156/3,USQ 642,
14697,932,1990-12-31,HUMAN RESOURCE DEVELOPMENT,Report on the Implementaiton of Gujaral committee recommendations on Status of Urdu.,,156/2,USQ 354,
14698,2272,2017-04-06,"Environment, Forests  & Climate Change",Rising of sea level,,242/272,SQ 366,
14699,2272,2017-04-11,DEFENCE,Reduction in pension drawn by JWOs,,242/263,USQ 4359,"K.B.KRISHNAMURTHY, Santiuse Kujur, Vijaylaxmi Sadho"
14700,2272,2016-12-08,INFORMATION AND BROADCASTING,Judgement of central administrative Tribunal,,241/143,USQ 2645,
14701,2272,2014-08-08,COMMUNICATIONS & INFORMATION TECHNOLOGY,Allowing use of BSNL infrastructure by private players.,,232/365,SQ 441,
14702,2272,2014-08-06,CULTURE,Financial assistance for statue of Sardar Vallabhbhai Patel,,232/324,USQ 2954,
14703,2272,2018-03-21,HOME AFFAIRS,FIR in recruitment scam of NCCT,,245/29,USQ 2961,
14704,2272,2016-11-22,FINANCE,Measures to tackle cyber security breach in debit/credit cards,,241/43,USQ 697,RAJKUMAR DHOOT
14705,2273,2018-03-15,Education,,,245/99,USQ 2332,
14706,485,1991-09-12,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Reservation for women in Govt. Services,,160/1,USQ 1597,
14707,2274,2016-07-27,"Fisheries, Animal Husbandry and Dairying",,,240/123,USQ 1061,
14708,2274,2016-05-12,SKILL DEVELOPMENT  AND ENTREPRENEURSHIP,Establishment of ITI s in every tuluk and District,,239/250,USQ 2187,
14709,2274,2016-05-10,INFORMATION AND BROADCASTING,Reformation of CBFC,,239/227,USQ 1910,
14710,2274,2016-03-14,RURAL DEVELOPMENT,Plantation under SAGY,,238/204,SQ 170,
14711,2274,2015-12-22,HEALTH AND FAMILY WELFARE,Selling of Medicines online,,237/273,USQ 2679,
14712,2274,2015-12-18,TEXTILES,Linking Handicrafts industry with E-Commerce,,237/235,USQ 2398,
14713,2274,2015-12-17,HUMAN RESOURCE DEVELOPMENT,Opening of Technical Institutes,,237/210,USQ 2152,
14714,2274,2015-03-20,AGRICULTURE AND FARMERS WELFARE,Corruption in KVKs,,234/236,USQ 2575,
14715,2274,2014-12-16,DEFENCE,War Museum,,233/364,USQ 2544,
14716,2274,2014-12-02,FINANCE,Sneaking of counterfeit currency from Pakistan,,233/157,USQ 1012,
14717,2274,2014-08-12,CIVIL AVIATION,Disposing of properties by Air India,,232/478,USQ 3550,
14718,2274,2014-08-08,AGRICULTURE,New technique to deal with inflation,,232/371,USQ 3254,
14719,2274,2014-08-07,STATISTICS AND PROGRAMME IMPLEMENTATION,Proposal to enhance the amount under    MPLADS,,232/355,USQ 3179,
14720,2274,2019-12-05,LAW  AND JUSTICE,Amendment in Representation of people Act,,250/83,USQ 2023,
14721,2274,2018-08-02,NITI AYOG,Strategy for New India 2022,,246/74,USQ 1874,
14722,2274,2018-03-14,HOME AFFAIRS,Formation of new IR Battalion in States,,245/95,USQ 2141,
14723,2274,2018-03-07,YOUTH AFFAIRS & SPORTS,Privatisation of stadia under SAI,,245/66,USQ 1439,
14724,2274,2018-01-01,SCIENCE AND TECHNOLOGY,Identification of medicinal properties of vegetations found in North-East,,244/64,USQ 1559,
14725,2274,2017-07-26,COMMERCE AND INDUSTRY,New Industrial Policy for Domestic Industries,,243/50,USQ 1146,
14726,2274,2017-03-10,Communications,Free data to mobile phone customers in Villages,,242/86,USQ 1167,
14727,2274,2016-11-29,DEFENCE,New Museum for the Indian Air Force,,241/75,USQ 1467,
14728,2274,2016-04-27,LABOUR AND EMPLOYMENT,Deduction of PF in companies with 10 employees,,239/48,USQ 432,
14729,2274,2016-02-24,HOME AFFAIRS,Search for Terrorists in connection with Pathankot terror,,238/10,USQ 60,
14730,2274,2015-04-29,CULTURE,Damage to RANI-KI-VAV due to running to trains,,235/38,SQ 63,
14731,2274,2014-11-27,HOUSING AND URBAN POVERTY ALLEVIATION,Demand for Housing Units,,233/90,USQ 537,
14732,2274,2014-11-25,HEALTH AND FAMILY WELFARE,Blueprint for providing Healthcare facilities to the poor,,233/48,USQ 271,
14733,1821,2022-03-14,DEFENCE,Development of projects around Naval Establshments,,256/122,USQ 1335,
14734,1821,2018-03-20,FINANCE,Amount involved in LoUs issued by banks,,245/112,SQ 263,
14735,1821,2016-12-09,RAILWAYS,Complaint against Masjid Bunder Station master,,241/156,USQ 2860,
14736,1821,2022-02-02,Education,Textbooks for Schools and Colleges on Indias Ancient and Recent History,,256/14,USQ 10,Vishambhar Prasad Nishad
14737,1821,2018-02-08,Housing and Urban Affairs,Release deed as valid document to transfer leasehold rights,,245/32,USQ 683,
14738,1821,2017-08-03,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Inclusion of Ayurveda in Civil Services examination,,243/98,SQ 198,
14739,1821,2005-11-30,HOME AFFAIRS,Relief provided to Tsunami victims from LG`s relief fund,,206/80,USQ 836,
14740,1821,1992-05-07,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Recommendations of Satish Chandra Committee,,163/4,USQ 1298,
14741,1821,1992-03-12,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Recommendations of the Satish Chandra Committee.,,162/2,SQ 225,
14742,1821,1991-12-12,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Indian languages as medium of examination.,,161/4,USQ 2209,
14743,1821,1990-03-27,DEFENCE,Foreign visits of investigating officers in connection with Bofors pay-offs,,153/7,USQ 1719,
14744,1821,1989-12-26,DEFENCE,Commission paid by AB Bofors in 155mm Howitzer gun deal,,152/1,SQ 25,
14745,2275,2019-07-01,"Environment, Forests  & Climate Change",Displacement of Villagers from protected areas,,249/65,SQ 98,
14746,2276,2019-07-15,"Environment, Forests  & Climate Change",Impact assessment of Climate Change on Agrarian Society.,,249/110,SQ 230,
14747,2276,2017-03-28,DEFENCE,Self-sufficiency in defence production,,242/205,USQ 2907,
14748,2276,2016-07-29,Communications,112 as universal emergency number,,240/144,USQ 1401,
14749,2276,2016-05-06,CHEMICALS AND FERTILIZERS,Controlling prices of patented medicines,,239/184,USQ 1490,
14750,2276,2016-03-14,PANCHAYATI RAJ,Reservation in PRIS,,238/213,USQ 1828,
14751,2276,2016-03-09,HOME AFFAIRS,Lack of coordination between state and central intelligence,,238/140,SQ 121,
14752,2276,2020-03-16,JAL SHAKTI,"Lack of drinking water in Rewari, Haryana",,251/97,SQ 226,
14753,2276,2020-03-16,JAL SHAKTI,"Lack of drinking water in Rewari, Haryana",,251/96,SQ 226,
14754,2276,2020-02-11,CULTURE,Vacancies in Archaeological Survey in India,,251/32,USQ 986,
14755,2276,2018-12-27,HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,Phase-II of Fame scheme,,247/76,USQ 1621,
14756,2276,2015-12-01,FINANCE,Loans to MSMEs by PSBs/Financial Institutions,,237/23,USQ 262,
14757,2276,2015-05-06,PETROLEUM AND NATURAL GAS,Energy conclave,,235/77,SQ 106,
14758,2276,2015-02-26,HOUSING AND URBAN POVERTY ALLEVIATION,Housing for all scheme,,234/31,USQ 374,
14759,2276,2019-02-06,HOME AFFAIRS,NCRB Data,,248/7,USQ 348,
14760,2277,2018-07-24,"Environment, Forests  & Climate Change",Menace of Monkeys in Delhi,,246/117,,
14761,2277,2017-04-05,HOME AFFAIRS,Safety of senior citizens in Delhi,,242/228,SQ 347,
14762,2277,2017-03-21,FINANCE,Irregularities in sanctioning loans by PSBs,,242/138,USQ 2175,Narendra KumarSwain
14763,2277,2017-03-17,RAILWAYS,Sabotaging of Railway Tracks by Terrorists,,242/132,USQ 1862,
14764,2277,2016-08-09,FINANCE,Report of Chief Advisor Cost,,240/242,USQ 2548,
14765,2277,2016-08-09,FINANCE,Seventh pay Commission Committee on Allowances,,240/235,SQ 244,
14766,2277,2016-08-09,FINANCE,Seventh Pay Commission Committee on Allowances,,240/234,USQ 244,A. K. Selvaraj
14767,2277,2016-03-14,ROAD TRANSPORT AND HIGHWAYS,Deaths in Road Accidents,,238/206,SQ 171,
14768,2277,2016-03-14,ROAD TRANSPORT AND HIGHWAYS,Deaths in Road Accidents,,238/205,SQ 171,
14769,2277,2015-12-23,HOME AFFAIRS,Non-Utilization of funds for Delhi Police Modernisation,,237/276,USQ 2791,
14770,2277,2015-12-22,FINANCE,Cost ineffective procurement procedure of Kendriya Bhandar,,237/267,USQ 2619,
14771,2277,2015-02-26,SOCIAL JUSTICE AND EMPOWERMENT,Schemes for persons with disabilities,,234/250,USQ 424,
14772,2277,2015-03-12,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Redressal of Grievances,,234/138,USQ 1681,
14773,2277,2019-07-01,JAL SHAKTI,Increasing of piped water of households,,249/68,USQ 1017,
14774,2277,2017-12-19,HOME AFFAIRS,"Demand for giving status of martyrs to Bhagat Singh, Sukhdev, Rajguru and Chandrashekhar Azad.",,244/11,,
14775,2277,2017-07-19,HOME AFFAIRS,Discrimination of Tribal Khasi Woman at Delhi Golf Club,,243/22,USQ 377,
14776,2277,2017-03-14,FINANCE,Handling of communications received from MPs,,242/97,USQ 1337,
14777,2277,2015-12-08,CIVIL AVIATION,Second Airport in the NCR,,237/88,USQ 984,
14778,2277,2015-07-23,EXTERNAL AFFAIRS,Complaints against Indian High Commissioners,,236/29,USQ 384,
14779,2277,2015-05-05,FINANCE,PSBS Loan to Corporate Houses and Farmers,,235/69,USQ 963,
14780,2277,2015-04-30,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Kendriya Bhandar Employees arrested by the CBI,,235/60,USQ 837,
14781,2277,2015-04-29,PETROLEUM AND NATURAL GAS,Deviation from Standard tendering procedure by ONGC,,235/47,USQ 713,
14782,2277,2015-04-24,RAILWAYS,Procurement in Railways,,235/18,USQ 247,
14783,2277,2016-07-18,"WATER RESOURCES, RIVER DEVELOPMENT & GANGA REJUVE",Implementation of Namami Gange Scheme,,240/4,SQ 1,
14784,2277,2016-07-18,"WATER RESOURCES, RIVER DEVELOPMENT & GANGA REJUVE",Implementation of Namami Gange Scheme,,240/3,SQ 1,
14785,2278,2020-03-20,RAILWAYS,Railway developmental works in Madhya Pradesh,,251/121,USQ 3169,
14786,2278,2018-04-04,CULTURE,"Persons, monuments and sites associated with freedom struggle",,245/153,SQ 400,
14787,2278,2017-03-27,COAL,CSR activities of coal PSUs,,242/194,USQ 2717,
14788,2278,2016-12-15,HUMAN RESOURCE DEVELOPMENT,Training period for untrained teachers in Madhya Pradesh,,241/179,USQ 3251,
14789,2278,2016-08-09,CIVIL AVIATION,Facilities offered by AI to passengers,,240/238,SQ 246,
14790,2278,2014-12-05,CHEMICALS AND FERTILIZERS,Rake points for fertilizers in Madhya Pradesh,,233/214,USQ 1436,
14791,2278,2014-08-12,HEALTH AND FAMILY WELFARE,Sharing of information by hospitals with patients,,232/435,SQ 481,
14792,2278,2014-07-21,WATER RESOURCES,Development of Rivers,,232/176,USQ 1356,
14793,2278,2020-03-13,RAILWAYS,Steps taken to make TRAIN journey comfortable,,251/83,SQ 219,
14794,2278,2019-11-20,Housing and Urban Affairs,Metro Rail Services for smooth flow of Traffic.,,250/17,USQ 402,
14795,2278,2017-12-22,LAW  AND JUSTICE,"Simultaneous elections to Lok Sabha State Assemblies, Local Bodies and Gram Panchayats",,244/43,USQ 926,
14796,2278,2017-08-02,HOME AFFAIRS,Hindi Advisory Committee,,243/94,USQ 2010,"Chhaya Verma, Vishambhar Prasad Nishad"
14797,2278,2016-11-30,HOME AFFAIRS,Constitution of Hindi Advisory Committee,,241/88,USQ 1685,
14798,2278,2015-07-29,HOME AFFAIRS,Correspondence in Hindi by Ministries,,236/73,USQ 1027,
14799,2278,2014-11-27,SOCIAL JUSTICE AND EMPOWERMENT,National Memorial for Dr. Ambedkar,,233/82,SQ 75,
14800,2278,2014-11-24,COAL,Allocation of coal blocks,,233/7,USQ 5,
14801,489,2017-03-24,AGRICULTURE AND FARMERS WELFARE,Fall in prices of pulses below MSP,,242/145,SQ 246,
14802,489,2016-07-21,HOME AFFAIRS,Recent incidents of Atrocities on Dalits in various parts of country,,240/277,,AHMED PATEL
14803,489,2014-12-11,"Environment, Forests  & Climate Change",Damage to environment by plastic waste,,233/296,SQ 249,
14804,489,2014-12-08,WATER RESOURCES,river restoration and cleaning projects,,233/231,SQ 201,
14805,489,2014-08-08,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Change in the Civil Services Examination conducted by UPSC,,232/215,,Ghulam Nabi Azad
